1AON;OUROLANDIA DO NORTE;OURILANDIA DO NORTE;PA;BRASIL;AMERICA DO SUL
2NHT;HOTEL TRANSAMÉRICA;UNA ;BA;BRASIL;AMERICA DO SUL
6ASO;SORRISO;SORRISO;MT;BRASIL;AMERICA DO SUL
CYMX;MONTREAL-MIRABEL INTERNATIONAL AIRPORT;MIRABEL;;CANADA;AMERICA DO NORTE
CYQB;QUEBEC CITY JEAN LESAGE INTERNATIONAL AIRPORT;QUEBEC JEAN LESAGE INTL;;CANADA;AMERICA DO NORTE
CYWG;WINNIPEG JAMES ARMSTRONG RICHARDSON INTERNATIONAL AIRPORT;;;CANADA;AMERICA DO NORTE
CYYC;CALGARY INTERNATIONAL AIRPORT;;;CANADA;AMERICA DO NORTE
CYYZ;TORONTO PEARSON INTERNATIONAL AIRPORT;TORONTO;;CANADA;AMERICA DO NORTE
DAAG;HOUARI BOUMEDIENNE AIRPORT;;;ARGELIA;AFRICA
DABT;BATNA AIRPORT;;;ARGELIA;AFRICA
DFFD;OUAGADOUGOU AIRPORT;;;BURKINA-FASSO;AFRICA
DGAA;KOTOKA INTERNATIONAL AIRPORT;ACCRA/KOTOKA INTL;;GANA;AFRICA
DIAP;PORT BOUET AIRPORT (FELIX HOUPHOUET BOIGNY INTERNATIONAL AIRPORT);ABIDJAN;;COSTA DO MARFIM;AFRICA
DNAA;NNAMDI AZIKIWE INTERNATIONAL AIRPORT;;;NIGERIA;AFRICA
DNMM;MURTALA MOHAMMED INTERNATIONAL AIRPORT;LAGOS;;NIGERIA;AFRICA
DNPO;PORT HARCOURT INTERNATIONAL AIRPORT;OMAGWA;;NIGERIA;AFRICA
DTTA;TUNIS - CARTHAGE INTERNATIONAL AIRPORT;TUNIS;;TUNISIA;AFRICA
DXXX;LOME-TOKOIN AIRPORT;LOME;;TOGO;AFRICA
EBBR;BRUSSELS AIRPORT;BRUXELAS;;BELGICA;EUROPA
EBCI;BRUSSELS SOUTH CHARLEROI AIRPORT;;;BELGICA;EUROPA	
EBLG;LIEGE AIRPORT;LIEGE;;BELGICA;EUROPA
EBOS;OSTEND-BRUGES INTERNATIONAL AIRPORT;OOSTENDE;;BELGICA;EUROPA
EDDB;BERLIN-SCHÃ–NEFELD INTERNATIONAL AIRPORT;BERLIN SCHOENEFELD;;ALEMANHA;EUROPA
EDDF;FRANKFURT INTERNATIONAL AIRPORT;FRANKFURT;;ALEMANHA;EUROPA
EDDH;HAMBURG AIRPORT;HAMBURG;;ALEMANHA;EUROPA
EDDK;COLOGNE BONN AIRPORT;KOLN-BONN;;ALEMANHA;EUROPA
EDDL;DUSSELDORF INTERNATIONAL AIRPORT;DUSSELDORF;;ALEMANHA;EUROPA
EDDM;MUNICH INTERNATIONAL AIRPORT (FRANZ JOSEF STRAUÃŸ INTERNATIONAL AIRPORT);MUNCHEN;;ALEMANHA;EUROPA
EDDR;SAARBRUCKEN AIRPORT;SAARBRUCKEN;;ALEMANHA;EUROPA
EDDS;STUTTGART ECHTERDINGEN AIRPORT;;;ALEMANHA;EUROPA
EDDT;TEGEL INTERNATIONAL AIRPORT;BERLIN TEGEL;;ALEMANHA;EUROPA
EDDV;HANOVER/LANGENHAGEN INTERNATIONAL AIRPORT;HANNOVER;;ALEMANHA;EUROPA
EDFH;FRANKFURT-HAHN AIRPORT;HAHN;;ALEMANHA;EUROPA
EDHI;HAMBURG FINKENWERDER AIRPORT;HAMBURG-FINKENWERDER;;ALEMANHA;EUROPA
EGBB;BIRMINGHAM AIRPORT;BIRMINGHAM;;REINO UNIDO;EUROPA
EGBP;COTSWOLD AIRPORT;;;REINO UNIDO;EUROPA
EGDX;MOD SAINT ATHAN;ST ATHAN;;REINO UNIDO;EUROPA
EGGW;LONDON LUTON AIRPORT;LUTON;;REINO UNIDO;EUROPA
EGHL;LASHAM AIRFIELD;LASHAM;;REINO UNIDO;EUROPA
EGKK;LONDON GATWICK AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGLL;LONDON HEATHROW AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGMH;KENT INTERNATIONAL AIRPORT;;;REINO UNIDO;EUROPA
EGNL;BARROW/WALNEY ISLAND AIRFIELD;;;REINO UNIDO;EUROPA
EGNT;NEWCASTLE AIRPORT;;;REINO UNIDO;EUROPA
EGNX;EAST MIDLANDS AIRPORT;EAST  MIDLANDS;;REINO UNIDO;EUROPA
EGPF;GLASGOW INTERNATIONAL AIRPORT;;;REINO UNIDO;EUROPA
EGPK;GLASGOW PRESTWICK INTERNATIONAL AIRPORT;PRESTWICK;;REINO UNIDO;EUROPA
EGSH;NORWICH INTERNATIONAL AIRPORT;NORWICH;;REINO UNIDO;EUROPA
EGSS;LONDON STANSTED AIRPORT;LONDRES;;REINO UNIDO;EUROPA
EGTE;EXETER INTERNATIONAL AIRPORT;CLYST-HONITON;;REINO UNIDO;EUROPA
EHAM;AMSTERDAM AIRPORT SCHIPHOL;AMSTERDAM;;HOLANDA;EUROPA
EHBK;MAASTRICHT AACHEN AIRPORT;AMSTERDAM;;HOLANDA;EUROPA
EHWO;WOENSDRECHT AIR BASE;NETHERLANDS/BERGEN;;HOLANDA;EUROPA
EINN;SHANNON AIRPORT;SHANNON;;IRLANDA;EUROPA
EKCH;COPENHAGEN AIRPORT;KOPENHAGEN;;ILHAS FEROE;EUROPA
ELLX;LUXEMBOURG FINDEL AIRPORT;LUXEMBURGO;;LUXEMBURGO;EUROPA
ENGM;OSLO AIRPORT;OSLO;;NORUEGA;EUROPA
EPWA;WARSAW FREDERIC CHOPIN AIRPORT (OKECIE INTERNATIONAL AIRPORT);WARSAW OKECIE;;POLONIA;EUROPA
ESGG;GÃ–TEBORG-LANDVETTER AIRPORT;GOTEBORG;;SUECIA;EUROPA
ESSA;STOCKHOLM-ARLANDA AIRPORT;STOCKHOLM/ARLANDA;;SUECIA;EUROPA
EVRA;RÄªGAINTERNATIONALAIRPORT;;;LETÃ”NIA;EUROPA
FACT;CAPE TOWN INTERNATIONAL AIRPORT;CAPE TOWN;;AFRICA DO SUL ;AFRICA
FAJS;OR TAMBO INTERNATIONAL AIRPORT;JOHANNESBURG;;AFRICA DO SUL ;AFRICA
FALA;LANSERIA AIRPORT;JOHANNESBURG;;AFRICA DO SUL ;AFRICA
FALE;KING SHAKA INTERNATIONAL AIRPORT;LA MERCY;;AFRICA DO SUL ;AFRICA
FAOR;OR TAMBO INTERNATIONAL AIRPORT;KEMPTON PARK;;AFRICA DO SUL ;AFRICA
FAUP;UPINGTON AIRPORT;UPINGTON;;AFRICA DO SUL ;AFRICA
FAWB;WONDERBOOM AIRPORT;WONDERBOOM;;AFRICA DO SUL ;AFRICA
FCBB;MAYA-MAYA AIRPORT;BRAZZAVILLE;;CONGO;AFRICA
FCPP;POINTE NOIRE AIRPORT;POINTE NOIRE AGOTINO NETO;;CONGO;AFRICA
FGSL;MALABO AIRPORT;MALABO;;GUINE EQUATORIAL;AFRICA
FKYS;YAOUNE NSIMALEN INTERNATIONAL AIRPORT;;;CAMAROES;AFRICA
FLLS;LUSAKA INTERNATIONAL AIRPORT;LUSAKA;;ZAMBIA;AFRICA
FNLU;QUATRO DE FEVEREIRO AIRPORT;LUANDA;;ANGOLA;AFRICA
FQMA;MAPUTO INTERNATIONAL AIRPORT;MAPUTO;;MOCAMBIQUE;AFRICA
FVHA;HARARE INTERNATIONAL AIRPORT;HARARE;;ZIMBA?BUE;AFRICA
FYWH;WINDHOEK HOSEA KUTAKO INTERNATIONAL AIRPORT;WINDHOEK;;NAMI?BIA;AFRICA
GBYD;BANJUL INTERNATIONAL AIRPORT (YUNDUM INTÂ´L);BANJUL;;GAMBIA;AFRICA
GCLA;LA PALMA AIRPORT;;;ILHAS CANA?RIAS;AFRICA
GCLP;GRAN CANARIA AIRPORT;LAS PALMAS;;ILHAS CANA?RIAS;AFRICA
GCRR;LANZAROTE AIRPORT;LANZAROTE/ILHAS CANARIAS;;ESPANHA;EUROPA
GCTS;TENERIFE SOUTH AIRPORT;TENERIFE;;ESPANHA;EUROPA
GCXO;TENERIFE NORTH AIRPORT;TENERIFE;;ESPANHA;EUROPA
GLCP;CAPE PALMAS AIRPORT;GREENVILLE;;LIBERIA;AFRICA
GLRB;MONROVIA;MONROVIA;;LIBÃ‰RIA;AFRICA
GMAD;AGADIR/ AL MASSLRA;AGADIR/ AL MASSLRA;;MARROCOS;AFRICA
GMFK;MOULAY ALI CHERIF AIRPORT;ERRACHIDIA;;MARROCOS;AFRICA
GMMN;AEROPORTO INTERNACIONAL MOHAMMED V;CASABLANCA;;MARROCOS;AFRICA
GMMX;MARRAKECH/MENARA;MARRAKECH/MENARA;;MARROCOS;AFRICA
GOOY;DACAR;DACAR;;SENEGAL;AFRICA
GQNN;NOUAKCHOTT INTERNATIONAL AIRPORT;;;MAURITANIA;AFRICA
GUCY;CONAKRY/GBESSIA;CONAKRY/GBESSIA;;GUINE;AFRICA
GVAC;AEROPORTO INTERNACIONAL AMÃ?LCAR CABRAL;ILHA DO SAL;;CABO VERDE;AFRICA
GVFM;FRANCISCO MENDES;FRANCISCO MENDES;;CABO VERDE;AFRICA
GVNP;CABO VERDE;CABO VERDE;;CABO VERDE;AFRICA
HAAB;BOLE INTERNATIONAL AIRPORT;;;ETIOPIA;AFRICA
